model	centercrop	train_parameters	train_accuracy	train_precision/empty	train_precision/occupied	train_recall/empty	train_recall/occupied	train_f1_score/empty	train_f1_score/occupied	train_confusion_matrix/0/0	train_confusion_matrix/0/1	train_confusion_matrix/1/0	train_confusion_matrix/1/1	train_misclassified	val_parameters	val_accuracy	val_precision/empty	val_precision/occupied	val_recall/empty	val_recall/occupied	val_f1_score/empty	val_f1_score/occupied	val_confusion_matrix/0/0	val_confusion_matrix/0/1	val_confusion_matrix/1/0	val_confusion_matrix/1/1	val_misclassified	context	parameters
ResNet \cite{he2016}	False	11177538	99.93394886363636	0.9993062855862154	0.9994055391017272	0.999701051125596	0.998621084676008	0.9995036293766012	0.9990131578947368	187267	130	56	94147	186	11177538	99.95719178082192	0.999514563106796	0.9996839443742098	0.9998381353188734	0.9990524320909664	0.9996763230296164	0.9993680884676144	6177	3	1	3163	4	\cmark	11177538
VGG \cite{simonyan2015}	False	128780034	99.9609375	0.9997597475747853	0.9993106885690956	0.9996530057707809	0.9995226831570796	0.9997063738234933	0.9994166746211036	187258	45	65	94232	110	128780034	99.9464897260274	0.9995144845444248	0.9993680884676144	0.9996762706377468	0.9990524320909664	0.999595371044752	0.9992102353498656	6176	3	2	3163	5	\cmark	128780034
VGG \cite{simonyan2015}	True	128780034	99.92507102272728	0.99933284230527	0.9990874169655553	0.9995408999428794	0.9986741198807768	0.9994368602959821	0.9988807256716972	187237	125	86	94152	211	128780034	99.93578767123287	0.9993527508090616	0.9993678887484198	0.9996762706377468	0.9987365761212889	0.9995144845444248	0.9990521327014218	6176	4	2	3162	6	\xmark	128780034
ResNet \cite{he2016}	True	11177538	99.93607954545456	0.999332952671658	0.9994161792648104	0.9997063894983532	0.9986741198807768	0.9995196362044856	0.999045011778188	187268	125	55	94152	180	11177538	99.90368150684932	0.9990292832874941	0.9990515333544104	0.9995144059566202	0.998104864181933	0.9992717857431832	0.9985779744035392	6175	6	3	3160	9	\xmark	11177538
AlexNet \cite{krizhevsky2017}	False	57012034	99.74325284090908	0.9977327287276608	0.9968348380244292	0.9984091649183496	0.9954920075946412	0.9980708322104316	0.9961629702749606	187025	425	298	93852	723	57012034	99.79666095890408	0.9980591945657448	0.9977855109142676	0.9988669472321141	0.996209728363866	0.9984629075317532	0.996996996996997	6171	12	7	3154	19	\cmark	57012034
AlexNet \cite{krizhevsky2017}	True	57012034	99.75745738636364	0.996943361663152	0.9988381017353856	0.9994181173694634	0.9939115584925272	0.9981792056218024	0.9963687403303756	187214	574	109	93703	683	57012034	99.76455479452055	0.9972536348949921	0.9984147114774891	0.9991906765943672	0.994630448515477	0.9982212160413972	0.996518987341772	6173	17	5	3149	22	\xmark	57012034
CNN $(100,3,3,3)$	False	6690314	99.69850852272728	0.9971314316182353	0.9966932482721956	0.9983397660725056	0.9942934119668636	0.9977352329989091	0.9954918837978622	187012	538	311	93739	849	6690314	99.71104452054794	0.9974122594209932	0.9965200885795634	0.9982194885076076	0.9949463044851548	0.9978157107030176	0.9957325746799432	6167	16	11	3150	27	\cmark	6690314
CNN $(100,3,3,2)$	False	6435546	99.703125	0.9978748738540072	0.9953560863895162	0.9976617927323392	0.9957783977003936	0.997768321916894	0.9955671972597221	186885	398	438	93879	836	6435546	99.70034246575342	0.9975728155339806	0.9958912768647282	0.9978957591453544	0.9952621604548326	0.9977342612073149	0.9955766192733018	6165	15	13	3151	28	\cmark	6435546
CNN $(100,3,3,2)$	True	6435546	99.61257102272728	0.9963327789859708	0.9957124010554088	0.997848635778842	0.9927023558237958	0.9970901312508168	0.9942051001492546	186920	688	403	93589	1091	6435546	99.6361301369863	0.9966052376333656	0.9958834705509816	0.9978957591453544	0.9933670246367656	0.997250080879974	0.9946236559139784	6165	21	13	3145	34	\xmark	6435546
CNN $(50,2,2,3)$	False	4134858	99.61931818181819	0.9976965790725392	0.9932159979679744	0.9965781030626244	0.9954283653489188	0.9971370274225768	0.994320951028798	186682	431	641	93846	1072	4134858	99.59332191780823	0.9972465176546809	0.9933753943217666	0.996600841696342	0.994630448515477	0.9969235751295336	0.9940025252525252	6157	17	21	3149	38	\cmark	4134858
